City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
6,Kapaa,US,85.98,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Bairiki,KI,86.0,1.3292,172.9752,Tarawa Boutique Hotel
19,Isangel,VU,86.11,-19.55,169.2667,Tanna Lodge
20,Hambantota,LK,75.54,6.1241,81.1185,Bungalow 63
22,Robertsport,LR,79.5,6.7533,-11.3686,Kwepunha Retreat
25,Cocobeach,GA,78.87,1.0002,9.5823,Hotel Esperance
30,Vaini,TO,82.56,-21.2,-175.2,Keleti Beach Resort
33,Hilo,US,78.62,19.7297,-155.09,Hilo Hawaiian Hotel
40,Tabuk,PH,79.18,17.4189,121.4443,Golden Berries Hotel and Convention
44,Ruwi,OM,78.49,23.5996,58.5507,Al Falaj Hotel
54,Faanui,PF,75.6,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
58,Phalaborwa,ZA,75.61,-23.943,31.1411,Bothabelo Bed and Breakfast
59,Bhag,PK,78.37,29.0415,67.8239,Bukhari hotl
64,Cayenne,GF,75.24,4.9333,-52.3333,Hôtel Le Dronmi
82,Kattivakkam,IN,77.09,13.2167,80.3167,Euronova Freezer
88,Alofi,NU,80.49,-19.0595,-169.9187,Taloa Heights
100,Lokoja,NG,76.91,7.8024,6.743,Hotel Charvid
101,Hithadhoo,MV,81.03,-0.6,73.0833,Scoop Guest House
102,Georgetown,MY,80.53,5.4112,100.3354,Cititel Penang
103,Bandarbeyla,SO,77.29,9.4942,50.8122,JABIR HOTEL
104,Lorengau,PG,86.49,-2.0226,147.2712,Lorengau Harbourside Hotel
112,Butaritari,KI,79.92,3.0707,172.7902,Isles Sunset Lodge
114,Bayshore Gardens,US,80.58,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
115,Tual,ID,85.08,-5.6667,132.75,Grand Vilia Hotel
134,Cockburn Town,TC,80.44,21.4612,-71.1419,Osprey Beach Hotel
136,Kulhudhuffushi,MV,80.91,6.6221,73.07,Haajy Guest House 1
137,Bubaque,GW,84.4,11.2833,-15.8333,"Casa Dora, Bubaque"
139,Madras,IN,76.98,13.0878,80.2785,"Taj Connemara, Chennai"
140,Daru,PG,85.06,-9.0763,143.2092,Daru Lodge
144,Alwar Tirunagari,IN,76.68,8.6,77.95,Chennai garden restaurant
145,Honiara,SB,86.02,-9.4333,159.95,Heritage Park Hotel
154,Buala,SB,83.93,-8.145,159.5921,Maringe Lagoon Lodge
163,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
168,Kutoarjo,ID,80.11,-7.7169,109.9128,Massagus Hotel
170,Puerto Colombia,CO,78.89,10.9878,-74.9547,Hotel El Emigrante
173,Ixtapa,MX,81.63,20.7,-105.2,hotel la terminal
177,Davila,PH,78.78,18.4726,120.5763,Blue Ridge Beach Resort
178,Dingle,PH,83.17,10.9995,122.6711,SEGAYA PROPERTY
180,Sao Filipe,CV,80.2,14.8961,-24.4956,Hotel Xaguate
183,Tahoua,NE,75.18,14.8888,5.2692,Bungalows Guesthouse
186,Atuona,PF,77.5,-9.8,-139.0333,Villa Enata
191,Marawi,PH,78.4,7.9986,124.2928,Derogongan Residence
192,Tabou,CI,77.76,4.423,-7.3528,hotêl doufoulougou
200,Iralaya,HN,79.75,15.0,-83.2333,Iglesia morava renovada
203,Namatanai,PG,83.95,-3.6667,152.4333,Seagulls Inn Namatani
204,Quelimane,MZ,76.95,-17.8786,36.8883,Hotel Flamingo
207,Iracoubo,GF,76.33,5.4802,-53.2011,Le Gîte d’Iracoubo
209,Tadine,NC,81.81,-21.55,167.8833,
213,Araouane,ML,75.9,18.9048,-3.5265,
222,Port Augusta,AU,76.14,-32.5,137.7667,Majestic Oasis Apartments
223,Pontianak,ID,76.98,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
227,Touros,BR,77.65,-5.1989,-35.4608,INN NEW HORIZON
234,Poum,NC,78.73,-20.2333,164.0167,
237,Zambrano,CO,76.17,9.7472,-74.8153,Hotel Doña Lesbia
241,Bengkulu,ID,77.79,-3.8004,102.2655,Grage Hotel Bengkulu
243,Alice Springs,AU,78.35,-23.7,133.8833,Desert Palms Alice Springs
244,Sorong,ID,83.57,-0.8833,131.25,Waigo Splash Hotel
245,Derac,HT,75.54,19.65,-71.8167,Le Marien Hotels & Resorts
252,Cabo San Lucas,MX,80.51,22.8909,-109.9124,Hotel Tesoro Los Cabos
255,Itarema,BR,77.25,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
262,Kavieng,PG,84.78,-2.5744,150.7967,Nusa Island Retreat
266,Kahului,US,89.62,20.8947,-156.47,Maui Seaside Hotel
267,Bambanglipuro,ID,80.35,-7.95,110.2833,Puri Brata
270,San Patricio,US,80.83,28.017,-97.5169,"Motel 6 Sinton, TX"
282,Fuerte,PH,82.11,17.5381,120.3644,Giordion Inn
285,Nautla,MX,77.02,20.2167,-96.7833,Casa Blanca
295,Kanniyakumari,IN,77.22,8.0833,77.5667,Sparsa Kanyakumari
296,Auki,SB,82.96,-8.7676,160.7034,Auki Motel
297,Loanda,AO,78.8,-8.8368,13.2343,EPIC SANA Luanda
310,Biloela,AU,76.75,-24.4167,150.5,Silo Motor Inn Biloela
318,Charters Towers,AU,82.44,-20.1,146.2667,Cattleman's Rest Motor Inn
320,Alice,US,84.09,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
322,Bowen,AU,79.39,-20.0167,148.2333,Castle Motor Lodge Motel
327,Kalmunai,LK,75.61,7.4167,81.8167,VS Villa
334,Labuhan,ID,83.62,-6.8844,112.2051,DoubleFAG
339,Hobyo,SO,79.63,5.3505,48.5268,Halane Hotel and Restaurent
342,Singarayakonda,IN,75.31,15.25,80.0333,Sri Nrk A/C Lodge
344,Port Blair,IN,77.04,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
348,Gamba,GA,75.33,-2.65,10.0,
351,Sabang,ID,79.2,5.8933,95.3214,Hotel Citra
352,Santa,PH,82.02,17.486,120.4348,Monte Leah Beach Resort
372,Santo Antonio Do Ica,BR,76.24,-3.1022,-67.9397,HOTEL AMAZON WAY
375,Biak,ID,82.9,-0.9131,122.8766,Penginapan Kim
380,Mahibadhoo,MV,80.87,3.7833,72.9667,Omadhoo Inn
386,Tuy Hoa,VN,77.7,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
388,San Policarpo,PH,82.06,12.1791,125.5072,Agapita M. Nicart
390,Yala,TH,78.6,6.3333,101.25,งานแต่ง Murnee - Wahid
400,San Pedro,PH,86.27,14.35,121.0167,Palines Apartment and Guesthouse
403,Jizan,SA,83.34,17.3333,42.6667,شهدان. ابوالحجر
415,Saint-Louis,SN,78.44,16.3333,-15.0,
421,Kirakira,SB,83.88,-10.4544,161.9205,SanBiz Lodge
436,Matata,NZ,75.96,-37.8833,176.75,Matata B&B
442,Inhambane,MZ,75.2,-23.865,35.3833,Oceano
447,Bodden Town,KY,82.4,19.2833,-81.25,Will T Place
453,Guantanamo,CU,80.17,20.1444,-75.2092,Hotel Guantánamo
458,Lumphat,KH,75.07,13.4878,106.9816,"Wing Seng Narong Agent, And Printing House"
460,Katobu,ID,82.56,-4.9408,122.5276,La Ode Husein
472,Kununurra,AU,84.18,-15.7667,128.7333,Hotel Kununurra
475,Morant Bay,JM,80.22,17.8815,-76.4093,Whispering Bamboo Cove Resort
484,Mango,US,79.02,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
485,Dicabisagan,PH,83.14,17.0818,122.4157,Nancy Montanes Bernardo
486,Aransas Pass,US,80.62,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
496,Barcarena,BR,75.25,-1.5058,-48.6258,Dos Santos Hotel
497,Muncar,ID,82.44,-8.4333,114.3333,Zaky Homestay
500,Conakry,GN,81.7,9.538,-13.6773,Riviera Royal Hotel
501,Kupang,ID,88.57,-10.1667,123.5833,Hotel On The Rock by Prasanthi
502,Coari,BR,75.94,-4.085,-63.1414,Dellrey Hotel Center
503,Kieta,PG,84.85,-6.2167,155.6333,Uruna Bay Retreat
510,Vanimo,PG,83.89,-2.6741,141.3028,Vahmoneh Lodge Vanimo
513,Manado,ID,88.57,1.487,124.8455,Aryaduta Hotel
514,Zachary,US,76.73,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
518,Podor,MR,78.75,16.6527,-14.9587,Auberge Du Tékrour
520,Ahuimanu,US,85.14,21.4447,-157.8378,Paradise Bay Resort
521,Baracoa,CU,75.85,20.3467,-74.4958,Hostal Rio Miel
522,Karaton,ID,77.67,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
528,San Ignacio,BZ,77.14,17.1561,-89.0714,Rainforest Haven Inn
531,Areia Branca,BR,78.67,-4.9561,-37.1369,Areia Branca Apart Hotel
537,San Buenaventura,MX,75.69,27.0833,-101.5333,Hotel Gran Plaza
538,Sampit,ID,81.61,-2.5333,112.95,Aquarius Boutique Hotel Sampit
539,Obregon,NI,77.09,11.9566,-85.9636,Hostal Casa Aryen
541,Doha,QA,80.58,25.2867,51.5333,Mövenpick Doha
542,Road Town,VG,80.64,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
551,Dwarka,IN,79.16,22.2394,68.9678,Hotel Narayan Avezika Comfort
559,Bontang,ID,79.77,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
566,Makakilo City,US,83.95,21.3469,-158.0858,Marriott's Ko Olina Beach Club
569,Cozumel,MX,81.07,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
576,Lhokseumawe,ID,78.44,5.1801,97.1507,OYO 3278 Penginapan Alfajri
577,Sinnamary,GF,76.86,5.3833,-52.95,ALETHEIA Appartement Sinnamary
579,Lethem,GY,75.76,3.3803,-59.7968,Savannah Inn
590,Tornabe,HN,82.38,15.75,-87.55,Indura Beach & Golf Resort
592,Malindi,KE,76.26,-3.2175,40.1191,African House Resort
593,Mount Isa,AU,85.77,-20.7333,139.5,ibis Styles Mt Isa Verona
596,Karratha,AU,84.94,-20.7377,116.8463,ibis Styles Karratha
598,Kroya,ID,80.01,-7.6331,109.2461,Wisma Legoq Kost
599,Kavaratti,IN,80.89,10.5669,72.642,Green leaf
612,Aquiraz,BR,80.19,-3.9014,-38.3911,Pousada Rua Camurupim
616,Olinda,BR,80.33,-8.0089,-34.8553,Flat Quatro Rodas Olinda
621,Mareeba,AU,80.44,-17.0,145.4333,Trinity Plains Tourist Park
626,Ormara,PK,79.09,25.2088,64.6357,Kenara Colony House for Rent
632,Ugoofaaru,MV,81.07,5.6667,73.0,Ungoofaaru Inn
633,Yulara,AU,81.12,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
635,Les Cayes,HT,75.67,18.2,-73.75,Villa Orphee
639,Kawalu,ID,77.49,-7.3817,108.2082,West Jontor
650,Mkokotoni,TZ,76.06,-5.8767,39.2547,
654,Samarai,PG,84.47,-10.6167,150.6667,Nuli Sapi
664,Banda Aceh,ID,78.15,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
665,Careiro Da Varzea,BR,81.21,-3.2003,-59.8119,POUSADA DA ALDENORA
666,Pitimbu,BR,79.39,-7.4706,-34.8086,Reserva do Abiaí
667,Fare,PF,75.07,-16.7,-151.0167,Maitai Lapita Village Huahine
680,Hounde,BF,76.77,11.5,-3.5167,Carrefour où ouvriers dorment
